"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"2","0.004000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"3","0.011000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"4","0.012000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"5","0.017000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"6","0.021000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"7","0.024000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"8","0.026000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"9","0.030000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"10","0.032000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"11","0.038000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"12","0.041000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"13","0.129000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"14","0.137000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"15","0.137000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"16","0.138000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"17","0.140000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"18","0.140000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"19","0.141000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"20","0.141000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"21","0.142000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"22","0.142000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"23","0.142000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"24","0.144000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"25","0.144000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"26","0.144000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"27","0.145000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"28","0.146000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"29","0.146000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"30","0.150000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"31","0.152000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"32","0.152000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"33","0.153000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"34","0.157000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"35","0.158000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"36","0.160000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"37","0.161000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"38","0.162000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"39","0.167000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"40","0.168000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"41","0.169000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"42","0.171000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"43","0.171000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"44","0.172000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"45","0.177000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"46","0.186000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"47","0.187000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"48","0.188000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"49","0.190000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"50","0.192000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"51","0.196000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"52","0.197000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"53","0.200000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"54","0.202000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"55","0.207000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"56","0.210000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"57","0.213000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"58","0.216000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"59","0.219000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"60","0.221000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"61","0.224000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"62","0.225000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"63","0.228000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"64","0.229000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"65","0.233000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"66","0.234000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"67","0.237000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"68","0.239000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"69","0.242000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"70","0.244000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"71","0.246000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"72","0.247000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"73","0.249000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"74","0.251000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
