"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"2","0.003000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"3","0.006000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"4","0.009000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"5","0.011000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"6","0.012000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"7","0.014000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"8","0.015000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"9","0.017000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"10","0.018000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"11","0.020000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"12","0.022000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"13","0.024000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"14","0.025000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"15","0.028000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"16","0.028000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"17","0.030000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"18","0.031000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"19","0.035000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"20","0.036000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"21","0.037000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"22","0.038000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"23","0.040000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"24","0.041000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"25","0.043000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"26","0.044000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"27","0.046000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"28","0.047000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"29","0.049000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"30","0.054000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"31","0.058000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"32","0.060000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"33","0.062000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"34","0.063000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"35","0.065000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"36","0.066000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"37","0.069000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"38","0.070000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"39","0.072000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"40","0.073000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"41","0.076000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"42","0.077000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"43","0.079000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"44","0.081000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"45","0.084000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"46","0.086000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"47","0.088000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"48","0.090000","fe80::212:7406:6:606","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
"49","0.092000","fe80::212:7402:2:202","ff02::1a","ICMPv6","66","RPL Control (DODAG Information Solicitation)"
